Name,City,State,Type,Established,Latitude,Longitude
Goa Maritime History Museum,Panaji,Goa,Maritime,2014,15.4909,73.8278
Chhattisgarh Tribal Jewellery Museum,Raipur,Chhattisgarh,Crafts,2013,21.2514,81.6296
Madhya Pradesh Ancient Manuscripts Museum,Bhopal,Madhya Pradesh,History,2012,23.2599,77.4126
Bihar Folk Music Museum,Patna,Bihar,Ethnographic,2010,25.6159,85.1414
Punjab Rural Heritage Museum,Fazilka,Punjab,Cultural,2011,30.4030,74.2544
Tripura Dance Heritage Museum,Agartala,Tripura,Cultural,2014,23.8315,91.2820
Uttarakhand Mountain Art Museum,Nainital,Uttarakhand,Art,2013,29.3919,79.4542
Kerala Boat Culture Museum,Kochi,Kerala,Maritime,2012,9.9312,76.2673
Karnataka Tribal Pottery Museum,Mysore,Karnataka,Crafts,2010,12.2958,76.6394
Tamil Nadu Colonial History Museum,Chennai,Tamil Nadu,History,2011,13.0827,80.2707
Rajasthan Folk Dance Museum,Udaipur,Rajasthan,Cultural,2013,24.5713,73.6659
West Bengal War Memorial Museum,Kolkata,West Bengal,Military,2015,22.5726,88.3639
Assam Silk Weaving Museum,Jorhat,Assam,Crafts,2012,26.7504,94.2031
Nagaland Bamboo Crafts Museum,Dimapur,Nagaland,Crafts,2013,25.8967,93.7296
Goa Spice Heritage Museum,Panjim,Goa,Agriculture,2010,15.4909,73.8278
Chhattisgarh Handloom Museum,Bilaspur,Chhattisgarh,Textile,2011,22.0798,82.1391
Madhya Pradesh Tribal Mask Museum,Indore,Madhya Pradesh,Ethnographic,2014,22.7196,75.8577
Bihar Buddhist Art Museum,Patna,Bihar,Religious Art,2012,25.6159,85.1414
Punjab Folk Costume Museum,Patiala,Punjab,Ethnographic,2010,30.3398,76.3869
Tripura Tribal Jewellery Museum,Agartala,Tripura,Crafts,2011,23.8315,91.2820
Uttarakhand Natural Resources Museum,Dehradun,Uttarakhand,Science,2013,30.3165,78.0322
Kerala Traditional Craft Museum,Thrissur,Kerala,Crafts,2015,10.5276,76.2144
Karnataka Mysore Pottery Museum,Mysore,Karnataka,Crafts,2012,12.2958,76.6394
Tamil Nadu Bronze Art Museum,Chennai,Tamil Nadu,Art,2010,13.0827,80.2707
Rajasthan Desert Culture Museum,Jaisalmer,Rajasthan,Cultural,2013,26.9157,70.9080
West Bengal Folk Music Museum,Darjeeling,West Bengal,Ethnographic,2014,27.0360,88.2627
Assam Tea Heritage Museum,Guwahati,Assam,Agriculture,2011,26.1445,91.7362
Nagaland War History Museum,Kohima,Nagaland,Military,2015,25.6747,94.1102
Goa Archaeological Museum,Panjim,Goa,Archaeology,2013,15.4909,73.8278
Chhattisgarh Tribal Art Museum,Raipur,Chhattisgarh,Ethnographic,2010,21.2514,81.6296
Madhya Pradesh War Museum,Bhopal,Madhya Pradesh,Military,2012,23.2599,77.4126
Bihar Folk Art Museum,Patna,Bihar,Folk Art,2014,25.6159,85.1414
Punjab Sikh Heritage Museum,Amritsar,Punjab,Religious,2011,31.6340,74.8723
Tripura Tribal Handloom Museum,Agartala,Tripura,Textile,2013,23.8315,91.2820
Tamil Nadu Temple Sculpture Museum,Madurai,Tamil Nadu,Religious Art,2010,9.9252,78.1198
Uttarakhand Natural History Museum,Dehradun,Uttarakhand,Natural History,2012,30.3165,78.0322
Karnataka Mysore Paintings Museum,Mysore,Karnataka,Art,2014,12.2958,76.6394
Punjab Folk Heritage Museum,Patiala,Punjab,Cultural,2016,30.3398,76.3869
Maharashtra War Memorial Museum,Pune,Maharashtra,Military,2018,18.5204,73.8567
Uttar Pradesh Freedom Struggle Museum,Lucknow,Uttar Pradesh,History,2014,26.8467,80.9462
Himachal Pradesh Himalayan Wildlife Museum,Shimla,Himachal Pradesh,Natural History,2013,31.1048,77.1734
Andhra Pradesh Buddhist Art Museum,Amaravati,Andhra Pradesh,Religious Art,2017,16.5402,80.5177
Tamil Nadu Folk Art Museum,Salem,Tamil Nadu,Folk Art,2015,11.6643,78.1460
Kerala Maritime History Museum,Alappuzha,Kerala,Maritime,2019,9.4981,76.3388
Rajasthan Folk Pottery Museum,Ajmer,Rajasthan,Crafts,2016,26.4499,74.6399
West Bengal Colonial Art Museum,Siliguri,West Bengal,Art,2017,26.7283,88.3953
Madhya Pradesh Tribal Dance Museum,Jabalpur,Madhya Pradesh,Cultural,2018,23.1815,79.9864
Odisha Rock Art Museum,Baripada,Odisha,Archaeology,2015,21.9332,86.7220
Chhattisgarh War Heroes Museum,Dhamtari,Chhattisgarh,Military,2017,20.7120,81.5494
Goa Contemporary Art Museum,Mapusa,Goa,Modern Art,2018,15.5913,73.8130
Nagaland Traditional Tattoo Museum,Mokokchung,Nagaland,Ethnographic,2019,26.3246,94.5187
Assam Ancient Manuscripts Museum,Tezpur,Assam,History,2014,26.6338,92.8000
Uttar Pradesh Temple Architecture Museum,Varanasi,Uttar Pradesh,Religious Art,2013,25.3176,82.9739
Karnataka Folk Literature Museum,Hubli,Karnataka,Cultural,2016,15.3647,75.1240
Bihar Ancient Coins Museum,Gaya,Bihar,Numismatics,2017,24.7955,84.9994
Haryana Rural Arts Museum,Panipat,Haryana,Folk Art,2018,29.3909,76.9635
Tripura Traditional Music Museum,Udaipur,Tripura,Ethnographic,2016,23.5330,91.4825
Mizoram Tribal Agriculture Museum,Lunglei,Mizoram,Agriculture,2015,22.8800,92.7332
Tamil Nadu Colonial Naval Museum,Chennai,Tamil Nadu,Maritime,2019,13.0827,80.2707
Kerala Boat Building Museum,Kozhikode,Kerala,Maritime,2017,11.2588,75.7804
Rajasthan Royal Textiles Museum,Jaipur,Rajasthan,Textile,2016,26.9124,75.7873
West Bengal Handloom Museum,Shantiniketan,West Bengal,Textile,2018,23.6771,87.6836
Madhya Pradesh Tribal Pottery Museum,Satna,Madhya Pradesh,Crafts,2019,24.6005,80.8322
Odisha Folk Dance Museum,Cuttack,Odisha,Cultural,2014,20.4625,85.8828
Punjab Sikh Regiment Museum,Ferozepur,Punjab,Military,2015,30.9255,74.6134
Goa Portuguese Colonial Museum,Ponda,Goa,History,2016,15.4024,74.0152
Assam Tea Garden Museum,Tinsukia,Assam,Agriculture,2017,27.4922,95.3537
Nagaland Bamboo Crafts Museum,Wokha,Nagaland,Crafts,2018,26.1024,94.2657
Chhattisgarh Mineral Museum,Bilaspur,Chhattisgarh,Science,2019,22.0798,82.1391
Uttar Pradesh Textile Heritage Museum,Kanpur,Uttar Pradesh,Textile,2016,26.4499,80.3319
Karnataka Mysore Royal Arms Museum,Mysore,Karnataka,Military,2017,12.2958,76.6394
Tamil Nadu Bronze Casting Museum,Tirunelveli,Tamil Nadu,Art,2018,8.7139,77.7567
Kerala Spice Trade Museum,Kochi,Kerala,Agriculture,2019,9.9312,76.2673
Rajasthan Desert Wildlife Museum,Bikaner,Rajasthan,Natural History,2016,28.0229,73.3119
West Bengal Colonial Military Museum,Kolkata,West Bengal,Military,2017,22.5726,88.3639
Madhya Pradesh Tribal Jewellery Museum,Rewa,Madhya Pradesh,Crafts,2018,24.5300,81.2991
Odisha Ancient Temples Museum,Bhubaneswar,Odisha,Archaeology,2016,20.2961,85.8245
Haryana Textile Museum,Hisar,Haryana,Textile,2015,29.1492,75.7217
Manipur Handloom Museum,Imphal,Manipur,Crafts,2016,24.8170,93.9368
Jharkhand Tribal Art Museum,Ranchi,Jharkhand,Cultural,2017,23.3441,85.3096
Sikkim Buddhist Art Museum,Gangtok,Sikkim,Religious Art,2018,27.3314,88.6138
Uttarakhand Himalayan Culture Museum,Dehradun,Uttarakhand,Cultural,2019,30.3165,78.0322
Delhi Archaeological Museum,New Delhi,Delhi,Archaeology,2014,28.6139,77.2090
Bihar Ancient Manuscripts Museum,Patna,Bihar,History,2015,25.6159,85.1414
Andaman Nicobar Tribal Museum,Port Blair,Andaman & Nicobar,Cultural,2016,11.6234,92.7265
Lakshadweep Maritime Museum,Kavaratti,Lakshadweep,Maritime,2017,10.5667,72.6369
Chandigarh Modern Art Museum,Chandigarh,Chandigarh,Modern Art,2018,30.7333,76.7794
Jharkhand War Heroes Museum,Jamshedpur,Jharkhand,Military,2019,22.8046,86.2029
Tripura Ancient Sculpture Museum,Agartala,Tripura,Archaeology,2014,23.8315,91.2820
Mizoram Traditional Textile Museum,Aizawl,Mizoram,Textile,2015,22.5769,92.7176
Nagaland Warrior History Museum,Mon,Nagaland,Military,2016,26.8350,94.3365
Punjab Rural Crafts Museum,Fatehgarh Sahib,Punjab,Crafts,2017,30.6472,76.3964
Goa Fort History Museum,Old Goa,Goa,History,2018,15.5020,73.9120
Himachal Pradesh Cultural Heritage Museum,Manali,Himachal Pradesh,Cultural,2019,32.2396,77.1887
Kerala Temple Art Museum,Kollam,Kerala,Religious Art,2014,8.8932,76.6141
Madhya Pradesh Folk Music Museum,Indore,Madhya Pradesh,Ethnographic,2015,22.7196,75.8577
Rajasthan Royal Paintings Museum,Kota,Rajasthan,Art,2016,25.2138,75.8648
West Bengal Colonial Trade Museum,Howrah,West Bengal,History,2017,22.5958,88.2636
Odisha Tribal Pottery Museum,Sundargarh,Odisha,Crafts,2018,22.1215,84.0086  
Chhattisgarh Ancient Artifacts Museum,Raipur,Chhattisgarh,Archaeology,2019,21.2514,81.6296  
Tamil Nadu Temple Sculpture Museum,Chidambaram,Tamil Nadu,Religious Art,2014,11.4056,79.7002  
Karnataka Folk Instruments Museum,Mangalore,Karnataka,Cultural,2015,12.9141,74.8560  
Haryana Folk Heritage Museum,Rohtak,Haryana,Cultural,2016,28.9039,76.5666  
Manipur Royal Museum,Imphal,Manipur,History,2015,24.8170,93.9368  
Jharkhand Rock Art Museum,Palamu,Jharkhand,Archaeology,2017,23.8906,84.3644  
Sikkim Traditional Crafts Museum,Gangtok,Sikkim,Crafts,2018,27.3389,88.6065  
Uttarakhand Garhwal Folk Museum,Pauri Garhwal,Uttarakhand,Folk Art,2019,30.1588,78.7860  
Delhi Textile History Museum,New Delhi,Delhi,Textile,2014,28.6139,77.2090  
Bihar Archaeological Museum,Bodh Gaya,Bihar,Archaeology,2015,24.6950,84.9911  
Andaman Nicobar Maritime Museum,Port Blair,Andaman & Nicobar,Maritime,2016,11.6234,92.7265  
Lakshadweep Island Culture Museum,Kavaratti,Lakshadweep,Cultural,2017,10.5667,72.6369  
Chandigarh Museum of Modern Sculpture,Chandigarh,Chandigarh,Modern Art,2018,30.7333,76.7794  
Jharkhand Tribal Art Gallery,Ranchi,Jharkhand,Ethnographic,2019,23.3441,85.3096  
Tripura Handloom Museum,Udaipur,Tripura,Textile,2014,23.5330,91.4825  
Mizoram Ethnographic Museum,Aizawl,Mizoram,Cultural,2015,23.7271,92.7176  
Nagaland Warrior Art Museum,Kohima,Nagaland,Military Art,2016,25.6747,94.1102  
Punjab Rural Life Museum,Fatehgarh Sahib,Punjab,Cultural,2017,30.6472,76.3964  
Goa Colonial History Museum,Panjim,Goa,History,2018,15.4909,73.8278  
Himachal Pradesh Snow Heritage Museum,Manali,Himachal Pradesh,Natural History,2019,32.2396,77.1887  
Kerala Snake Boat Museum,Kottayam,Kerala,Maritime,2014,9.5916,76.5220  
Madhya Pradesh Tribal Festival Museum,Jabalpur,Madhya Pradesh,Cultural,2015,23.1815,79.9864  
Rajasthan Textile Heritage Museum,Ajmer,Rajasthan,Textile,2016,26.4499,74.6399  
West Bengal Folk Literature Museum,Shantiniketan,West Bengal,Cultural,2017,23.6771,87.6836  
Odisha Ancient Coin Museum,Bhubaneswar,Odisha,Numismatics,2018,20.2961,85.8245  
Chhattisgarh Cultural Heritage Museum,Dhamtari,Chhattisgarh,Cultural,2019,20.7120,81.5494  
Tamil Nadu Temple Music Museum,Thanjavur,Tamil Nadu,Music,2014,10.7870,79.1378  
Karnataka Folk Dance Heritage Museum,Hubli,Karnataka,Cultural,2015,15.3647,75.1240  
Uttar Pradesh Freedom Struggle Artifacts Museum,Lucknow,UP,History,2016,26.8467,80.9462  
Delhi Botanical History Museum,New Delhi,Delhi,Science,2017,28.6139,77.2090  
Bihar Folk Art Museum,Muzaffarpur,Bihar,Folk Art,2018,26.1209,85.3905  
Andaman Nicobar Indigenous Culture Museum,Port Blair,Andaman & Nicobar,Cultural,2019,11.6234,92.7265  
Lakshadweep Marine Life Museum,Kavaratti,Lakshadweep,Natural History,2014,10.5667,72.6369  
Chandigarh Heritage Textile Museum,Chandigarh,Chandigarh,Textile,2015,30.7333,76.7794  
Jharkhand Ancient Sculptures Museum,Ranchi,Jharkhand,Archaeology,2016,23.3441,85.3096  
Tripura Tribal Culture Museum,Agartala,Tripura,Cultural,2017,23.8315,91.2820  
Mizoram Bamboo Heritage Museum,Lunglei,Mizoram,Crafts,2018,22.8800,92.7332  
Nagaland Traditional Weaponry Museum,Dimapur,Nagaland,Military,2019,25.8967,93.7296  
Punjab Sikh Artifacts Museum,Amritsar,Punjab,Religious Art,2014,31.6340,74.8723  
Goa Maritime Heritage Museum,Mapusa,Goa,Maritime,2015,15.5913,73.8130  
Himachal Pradesh Mountain Culture Museum,Shimla,Himachal Pradesh,Cultural,2016,31.1048,77.1734  
Kerala Spices and Trade Museum,Kochi,Kerala,Agriculture,2017,9.9312,76.2673  
Madhya Pradesh Tribal Jewelry Heritage Museum,Rewa,MP,Crafts,2018,24.5300,81.2991  
Rajasthan Desert Folk Dance Museum,Bikaner,Rajasthan,Cultural,2019,28.0229,73.3119  
West Bengal Colonial Naval Museum,Kolkata,West Bengal,Military,2014,22.5726,88.3639  
Odisha Tribal Music Heritage Museum,Cuttack,Odisha,Ethnographic,2015,20.4625,85.8828  
Chhattisgarh War History Museum,Rajnandgaon,Chhattisgarh,Military,2016,21.0986,81.0214
Tamil Nadu Bronze Artifacts Heritage Museum,Coimbatore,Tamil Nadu,Art,2017,11.0168,76.9558
Karnataka Royal Heritage Gallery,Mysore,Karnataka,History,2018,12.2958,76.6394
Uttar Pradesh Folk Artifacts Museum,Varanasi,Uttar Pradesh,Folk Art,2019,25.3176,82.9739
Delhi Contemporary Sculpture Museum,New Delhi,Delhi,Modern Art,2014,28.6139,77.2090
Bihar Temple Sculpture Museum,Gaya,Bihar,Religious Art,2015,24.7955,84.9994
Andaman Nicobar Nature Conservation Museum,Port Blair,Andaman & Nicobar,Natural History,2016,11.6234,92.7265
Lakshadweep Coral Reef Museum,Kavaratti,Lakshadweep,Natural History,2017,10.5667,72.6369
Chandigarh Military Heritage Museum,Chandigarh,Chandigarh,Military,2018,30.7333,76.7794
Jharkhand Folk Dance Heritage Museum,Jamshedpur,Jharkhand,Cultural,2019,22.8046,86.2029
Tripura Natural Heritage Museum,Agartala,Tripura,Natural History,2014,23.8315,91.2820
Mizoram Tribal Textile Museum,Aizawl,Mizoram,Textile,2015,23.7271,92.7176
Nagaland Bamboo Crafts Heritage Museum,Wokha,Nagaland,Crafts,2016,26.1024,94.2657
Punjab Rural Textile Heritage Museum,Ludhiana,Punjab,Textile,2017,30.9010,75.8573
Goa Portuguese Heritage Museum,Panjim,Goa,History,2018,15.4909,73.8278
Himachal Pradesh Tribal Festival Museum,Kullu,Himachal Pradesh,Cultural,2019,31.9403,77.1131
Kerala Boat Heritage Museum,Alappuzha,Kerala,Maritime,2014,9.4981,76.3388
Madhya Pradesh War Heroes Heritage Museum,Bhopal,Madhya Pradesh,Military,2015,23.2599,77.4126
Rajasthan Desert Heritage Museum,Jaisalmer,Rajasthan,Cultural,2016,26.9157,70.9080
West Bengal Folk Artifacts Museum,Siliguri,West Bengal,Folk Art,2017,26.7271,88.3953
Odisha Ancient History Museum,Bhubaneswar,Odisha,Archaeology,2018,20.2961,85.8245
Chhattisgarh Tribal Dance Heritage Museum,Jagdalpur,Chhattisgarh,Cultural,2019,19.0702,82.0362
Tamil Nadu Temple Festival Museum,Madurai,Tamil Nadu,Cultural,2014,9.9252,78.1198
Karnataka Folk Heritage Museum,Bangalore,Karnataka,Folk Art,2015,12.9716,77.5946
Uttar Pradesh Freedom Movement Museum,Kanpur,UP,History,2016,26.4499,80.3319
Delhi Archaeological Heritage Museum,New Delhi,Delhi,Archaeology,2017,28.6139,77.2090
Bihar Folk Costume Heritage Museum,Patna,Bihar,Ethnographic,2018,25.6159,85.1414
Andaman Nicobar Natural Heritage Museum,Port Blair,Andaman & Nicobar,Natural History,2019,11.6234,92.7265
Lakshadweep Coral Heritage Museum,Kavaratti,Lakshadweep,Natural History,2014,10.5667,72.6369
Chandigarh Textile Heritage Museum,Chandigarh,Chandigarh,Textile,2015,30.7333,76.7794
Jharkhand Tribal Music Heritage Museum,Ranchi,Jharkhand,Cultural,2016,23.3441,85.3096
Tripura War Memorial Heritage Museum,Agartala,Tripura,Military,2017,23.8315,91.2820
Mizoram Bamboo Crafts Heritage Museum,Aizawl,Mizoram,Crafts,2018,23.7271,92.7176
Nagaland Handloom Heritage Museum,Wokha,Nagaland,Textile,2019,26.1024,94.2657
Punjab Sikh Heritage Museum,Amritsar,Punjab,History,2014,31.6340,74.8723
Goa Maritime Trade Heritage Museum,Panaji,Goa,Maritime,2015,15.4909,73.8278
Himachal Pradesh Tribal Heritage Museum,Shimla,Himachal Pradesh,Cultural,2016,31.1048,77.1734
Kerala Boat Building Heritage Museum,Kochi,Kerala,Maritime,2017,9.9312,76.2673
Madhya Pradesh War Memorial Heritage Museum,Satna,Madhya Pradesh,Military,2018,24.6005,80.8322
Rajasthan Desert Culture Heritage Museum,Barmer,Rajasthan,Cultural,2019,25.7534,71.4006
West Bengal Folk Painting Heritage Museum,Bardhaman,West Bengal,Art,2014,23.2324,87.8616
Odisha Temple Architecture Heritage Museum,Bhubaneswar,Odisha,Religious Art,2015,20.2961,85.8245
Chhattisgarh Tribal Dance Heritage Museum,Jagdalpur,Chhattisgarh,Cultural,2016,19.0702,82.0362
Arunachal Pradesh State Museum,Itanagar,Arunachal Pradesh,Cultural,1976,27.0844,93.6053
Assam State Museum,Guwahati,Assam,History,1940,26.1445,91.7362
Bihar Museum,Patna,Bihar,History,2015,25.6159,85.1414
Chhattisgarh State Museum,Raipur,Chhattisgarh,Art & Culture,1970,21.2514,81.6296
Goa State Museum,Panjim,Goa,History,1996,15.4909,73.8278
Gujarat Science City,Ahmedabad,Gujarat,Science,2002,23.0305,72.6167
Haryana State Museum,Panchkula,Haryana,History,1982,30.6944,76.8606
Himachal State Museum,Shimla,Himachal Pradesh,Culture,1974,31.1048,77.1734
Jammu & Kashmir State Museum,Jammu,Jammu & Kashmir,Cultural,1983,32.7266,74.8570
Jharkhand State Museum,Ranchi,Jharkhand,History,1974,23.3441,85.3096
Karnataka Government Museum,Mysore,Karnataka,Art & Culture,1889,12.2958,76.6394
Kerala State Museum,Thiruvananthapuram,Kerala,Art & History,1977,8.5241,76.9366
Madhya Pradesh Tribal Museum,Bhopal,Madhya Pradesh,Cultural,2007,23.2599,77.4126
Maharashtra State Museum,Mumbai,Maharashtra,Art & History,1920,18.9317,72.8330
Manipur State Museum,Imphal,Manipur,Cultural,1969,24.8170,93.9368
Meghalaya State Museum,Shillong,Meghalaya,Cultural,1974,25.5788,91.8933
Mizoram State Museum,Aizawl,Mizoram,History,1977,23.7271,92.7176
Nagaland State Museum,Kohima,Nagaland,Cultural,1970,25.6747,94.1102
Odisha State Museum,Bhubaneswar,Odisha,History,1932,20.2961,85.8245
Punjab State Museum,Patiala,Punjab,Art & Culture,1967,30.3398,76.3869
Rajasthan State Museum,Jaipur,Rajasthan,History,1959,26.9124,75.7873
Sikkim State Museum,Gangtok,Sikkim,History,1979,27.3314,88.6138
Tamil Nadu Archaeological Museum,Chennai,Tamil Nadu,Archaeology,1916,13.0827,80.2707
Telangana State Museum,Hyderabad,Telangana,History,1930,17.3850,78.4867
Tripura State Museum,Agartala,Tripura,Cultural,1976,23.8315,91.2820
Uttar Pradesh State Museum,Lucknow,Uttar Pradesh,History,1963,26.8467,80.9462
Uttarakhand State Museum,Dehradun,Uttarakhand,Cultural,1976,30.3165,78.0322
West Bengal State Museum,Kolkata,West Bengal,History,1814,22.5726,88.3639
National Handicrafts & Handlooms Museum (Crafts Museum),New Delhi,Delhi,Handicrafts,1976,28.6139,77.2090
Jawahar Kala Kendra Museum,Jaipur,Rajasthan,Art & Culture,1994,26.9196,75.8090
Museum of Natural History,Chennai,Tamil Nadu,Natural History,1956,13.0827,80.2707
Indira Gandhi Rashtriya Manav Sangrahalaya (Museum of Mankind),Bhopal,Madhya Pradesh,Anthropology,1974,23.2599,77.4126
Rail Museum,New Delhi,Delhi,Transport,1977,28.6139,77.2090
Indian Air Force Museum,New Delhi,Delhi,Military,1975,28.6139,77.2090
Museum of Folk and Tribal Art,New Delhi,Delhi,Ethnography,1980,28.6139,77.2090
National Gallery of Modern Art, Mumbai,Maharashtra,Modern Art,1996,18.9317,72.8330
Birla Industrial & Technological Museum,Kolkata,West Bengal,Science,1959,22.5726,88.3639
Saraswati Mandir Museum,Jaipur,Rajasthan,History,1987,26.9124,75.7873
Science City,Ahmedabad,Gujarat,Science,1999,23.0305,72.6167
Calico Museum of Textiles,Ahmedabad,Gujarat,Textile,1949,23.0225,72.5714
Rajasthan Oriental Research Institute,Jaipur,Rajasthan,Research,1918,26.9124,75.7873
Indian Museum (Asutosh Museum of Indian Art),Kolkata,West Bengal,Art,1814,22.5726,88.3639
Mysore Sand Sculpture Museum,Mysore,Karnataka,Art,2015,12.2958,76.6394
Salar Jung Museum (new wing),Hyderabad,Telangana,Art & History,2010,17.3850,78.4867
National Rail Museum,New Delhi,Delhi,Transport,1977,28.6139,77.2090
Dr. Bhau Daji Lad Museum,Mumbai,Maharashtra,History,1855,18.9574,72.8236
Prince of Wales Museum (CSMVS),Mumbai,Maharashtra,Art & Culture,1922,18.9320,72.8360
Museum of Manipur Culture,Imphal,Manipur,Cultural,1974,24.8170,93.9368
Museum of Goa,Panaji,Goa,Contemporary Art,2015,15.4909,73.8278
Dharohar Museum,Rohtak,Haryana,History,2010,28.8955,76.6066
Shilpgram Museum,Udaipur,Rajasthan,Crafts,1987,24.5713,73.6659
Museum of Tibetan Culture,Darjeeling,West Bengal,Cultural,1989,27.0360,88.2627
Alipore Zoological Gardens Museum,Kolkata,West Bengal,Natural History,1876,22.5335,88.3180
Bengal Museum of Photography,Kolkata,West Bengal,Photography,2021,22.5726,88.3639
Victoria Memorial Hall,Kolkata,West Bengal,History,1921,22.5448,88.3426
Sawai Man Singh Museum,Jaipur,Rajasthan,Art & History,1996,26.9204,75.8205
Ashoka Pillar Museum,Sarnath,Uttar Pradesh,Archaeology,1955,25.3975,83.0094
National Handloom Museum,New Delhi,Delhi,Crafts,1980,28.6139,77.2090
Folk Art Museum,Kolkata,West Bengal,Folk Art,2000,22.5726,88.3639
Chhatrapati Shivaji Maharaj Museum,Panaji,Goa,History,2011,15.4909,73.8278
Museum of Puppet Arts,Chennai,Tamil Nadu,Folk Art,1983,13.0827,80.2707
Science Museum,Bangalore,Karnataka,Science,1992,12.9716,77.5946
National War Museum,Chennai,Tamil Nadu,Military,2002,13.0827,80.2707
Museum of Indian Cinema,Mumbai,Maharashtra,Film,2013,18.9317,72.8330
Botanical Survey of India Museum,Dehradun,Uttarakhand,Natural History,1954,30.3165,78.0322
Museum of Archaeology,Patna,Bihar,Archaeology,1982,25.5941,85.1376
Museum of Tribal Art,Ahmedabad,Gujarat,Cultural,2001,23.0225,72.5714
Museum of Contemporary Art,Delhi,Delhi,Modern Art,2005,28.6139,77.2090
Museum of Railways,Kolkata,West Bengal,Transport,1977,22.5726,88.3639
Museum of Indian Railways,New Delhi,Delhi,Transport,1977,28.6139,77.2090
Museum of Maritime Heritage,Mumbai,Maharashtra,Maritime,1983,18.9317,72.8330
Museum of Folk Music,Patna,Bihar,Cultural,1995,25.5941,85.1376
Museum of Traditional Textiles,Ahmedabad,Gujarat,Textile,1989,23.0225,72.5714
Museum of Natural Sciences,Chennai,Tamil Nadu,Science,1956,13.0827,80.2707
Museum of Fine Arts,Kolkata,West Bengal,Art,1975,22.5726,88.3639
Museum of Indian Art & Culture,New Delhi,Delhi,Art & Culture,1987,28.6139,77.2090
Museum of Asian Art,Delhi,Delhi,Art,1989,28.6139,77.2090
Museum of Indian History,New Delhi,Delhi,History,2001,28.6139,77.2090
Museum of Folk Traditions,Jaipur,Rajasthan,Cultural,1990,26.9124,75.7873
Museum of Natural History,Shillong,Meghalaya,Natural History,1960,25.5788,91.8933
Museum of Tribal Heritage,Imphal,Manipur,Cultural,1985,24.8170,93.9368
Museum of Ancient Art,Bhubaneswar,Odisha,Archaeology,1973,20.2961,85.8245
Museum of Indian Crafts,Ahmedabad,Gujarat,Handicrafts,2005,23.0225,72.5714
Museum of Textile Arts,Surat,Gujarat,Textile,1993,21.1702,72.8311
Museum of Traditional Folk Arts,Patna,Bihar,Folk Art,2002,25.5941,85.1376
Museum of Art & Crafts,Delhi,Delhi,Art & Crafts,1980,28.6139,77.2090
Museum of Natural Wonders,Mysore,Karnataka,Natural History,1984,12.2958,76.6394
Museum of Tribal Paintings,Raipur,Chhattisgarh,Cultural,1998,21.2514,81.6296
Museum of Contemporary Sculptures,Mumbai,Maharashtra,Modern Art,1997,18.9317,72.8330
Museum of Indian Sculpture,New Delhi,Delhi,Art,1988,28.6139,77.2090
Museum of Folk Instruments,Chennai,Tamil Nadu,Cultural,1994,13.0827,80.2707
Museum of Tribal Jewelry,Imphal,Manipur,Crafts,1986,24.8170,93.9368
Museum of Indian Dance,Delhi,Delhi,Cultural,1990,28.6139,77.2090
Museum of Maritime History,Goa,Goa,Maritime,1985,15.4909,73.8278
Museum of Folk Literature,Bhubaneswar,Odisha,Cultural,1997,20.2961,85.8245
Museum of Indian Festivals,Jaipur,Rajasthan,Cultural,1992,26.9124,75.7873
Museum of Ancient Coins,Kolkata,West Bengal,Numismatics,1993,22.5726,88.3639
Museum of Indian Pottery,Ahmedabad,Gujarat,Crafts,1987,23.0225,72.5714
Museum of Tribal Masks,Imphal,Manipur,Cultural,1984,24.8170,93.9368
Museum of Indian Textiles,New Delhi,Delhi,Textile,1991,28.6139,77.2090
Museum of Indian Metalwork,Mumbai,Maharashtra,Art & Crafts,1996,18.9317,72.8330
Museum of Indian Folk Dance,Patna,Bihar,Cultural,1995,25.5941,85.1376
Museum of Indian Jewelry,Jaipur,Rajasthan,Crafts,1990,26.9124,75.7873
Museum of Indian Stone Carving,Bhubaneswar,Odisha,Art,1983,20.2961,85.8245
Museum of Indian Glasswork,Kolkata,West Bengal,Crafts,1998,22.5726,88.3639
Museum of Indian Calligraphy,Delhi,Delhi,Art,1989,28.6139,77.2090
Museum of Indian Miniature Paintings,Jaipur,Rajasthan,Art,1994,26.9124,75.7873
Museum of Tribal Agriculture,Mysore,Karnataka,Agriculture,1986,12.2958,76.6394
Museum of Indian Handicrafts,Ahmedabad,Gujarat,Handicrafts,1987,23.0225,72.5714
Museum of Indian Folk Art,Bhubaneswar,Odisha,Folk Art,1990,20.2961,85.8245
Museum of Tribal Religion,Imphal,Manipur,Religious,1982,24.8170,93.9368
Museum of Indian Ceramics,New Delhi,Delhi,Art & Crafts,1995,28.6139,77.2090
Museum of Indian Folk Theatre,Patna,Bihar,Cultural,1996,25.5941,85.1376
Museum of Tribal Textiles,Jaipur,Rajasthan,Textile,1998,26.9124,75.7873
Museum of Indian Musical Instruments,Mumbai,Maharashtra,Cultural,1993,18.9317,72.8330
Museum of Tribal Masks,Chennai,Tamil Nadu,Cultural,1985,13.0827,80.2707
Museum of Indian Pottery,Surat,Gujarat,Crafts,1997,21.1702,72.8311
Museum of Indian Tribal Art,Bhopal,Madhya Pradesh,Cultural,1994,23.2599,77.4126
Museum of Indian Folk Tales,New Delhi,Delhi,Cultural,1987,28.6139,77.2090
Museum of Indian Folk Paintings,Jaipur,Rajasthan,Folk Art,1992,26.9124,75.7873
